restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time
Vezzo Thin Crust Pizza,Italian,22.26,Weekday,Not given,22,32
Sushi of Gari 46,Japanese,9.02,Weekend,5,32,17
Han Dynasty,Chinese,7.71,Weekend,5,22,18
Blue Ribbon Fried Chicken,American,14.65,Weekend,Not given,34,23
Han Dynasty,Chinese,22.31,Weekend,5,29,15
brgr,American,5.72,Weekday,3,24,26
Cafe Mogador,Middle Eastern,6.69,Weekend,4,23,30
Hill Country Fried Chicken,Southern,29.78,Weekday,Not given,35,33
Sushi of Gari,Japanese,16.01,Weekend,Not given,33,19
Sushi of Gari,Japanese,15.96,Weekend,Not given,22,19
Shake Shack,American,14.07,Weekend,Not given,33,21
Blue Ribbon Sushi,Japanese,24.25,Weekday,4,22,29
Vanessa's Dumpling House,Chinese,14.84,Weekend,5,31,24
Shake Shack,American,22.85,Weekend,5,24,23
Vanessa's Dumplings,Chinese,20.23,Weekend,5,33,17
RedFarm Hudson,Chinese,14.6,Weekend,3,30,28
TAO,Japanese,15.52,Weekend,4,32,27
Blue Ribbon Fried Chicken,American,8.98,Weekend,3,26,27
Melt Shop,American,19.4,Weekend,4,30,25
Five Guys Burgers and Fries,American,13.0,Weekday,5,30,27
The Smile,American,5.82,Weekend,3,22,25
Blue Ribbon Sushi,Japanese,16.06,Weekend,Not given,24,21
RedFarm Hudson,Chinese,5.82,Weekend,5,22,22
Sushi of Gari 46,Japanese,13.05,Weekday,Not given,28,30
Parm,Italian,9.22,Weekend,4,31,25
Burger Joint,American,8.35,Weekend,4,28,17
Cafe Habana,Mexican,25.17,Weekend,Not given,27,26
Chipotle Mexican Grill $1.99 Delivery,Mexican,29.05,Weekend,4,22,21
Jack's Wife Freda,Mediterranean,8.49,Weekend,Not given,23,18
Blue Ribbon Sushi,Japanese,6.74,Weekend,5,22,29
Pinto Nouveau Thai Bistro,Thai,24.2,Weekend,5,29,15
Shake Shack,American,12.18,Weekend,5,32,24
The Meatball Shop,Italian,19.4,Weekend,5,28,30
Shake Shack,American,14.07,Weekend,5,34,17
RedFarm Broadway,Chinese,31.86,Weekend,4,25,19
RedFarm Broadway,Chinese,12.56,Weekday,4,35,33
Sushi of Gari Tribeca,Japanese,14.07,Weekend,5,34,29
The Meatball Shop,American,5.82,Weekend,5,30,30
Carmine's,Italian,19.98,Weekday,5,34,30
Shake Shack,American,14.07,Weekend,Not given,31,25
Jack's Wife Freda,Mediterranean,14.12,Weekday,5,25,25
Sushi of Gari Tribeca,Japanese,12.42,Weekend,4,23,20
Parm,Italian,12.13,Weekend,Not given,25,29
Five Guys Burgers and Fries,American,19.45,Weekday,3,28,28
Blue Ribbon Fried Chicken,American,12.18,Weekend,4,26,29
The Meatball Shop,Italian,6.69,Weekend,Not given,25,18
Nobu Next Door,Japanese,13.97,Weekday,Not given,27,24
Blue Ribbon Sushi Bar & Grill,Japanese,5.72,Weekday,5,32,26
Haandi,Indian,13.1,Weekend,Not given,31,30
Shake Shack,American,6.07,Weekday,4,23,27
Melt Shop,American,12.56,Weekend,4,25,23
P.J. Clarke's,American,14.07,Weekday,5,33,26
Blue Ribbon Fried Chicken,American,12.52,Weekday,4,24,31
Shake Shack,American,21.93,Weekday,Not given,21,33
Sarabeth's East,American,25.27,Weekend,4,23,19
Asuka Sushi,Japanese,22.75,Weekday,5,25,32
The Meatball Shop,American,12.18,Weekend,5,22,26
Rubirosa,Italian,15.38,Weekday,Not given,30,31
Yama Japanese Restaurant,Japanese,12.66,Weekend,Not given,25,26
Nobu Next Door,Japanese,25.17,Weekend,Not given,21,16
P.J. Clarke's,American,24.25,Weekend,Not given,24,15
Shake Shack,American,14.02,Weekend,4,20,21
ilili Restaurant,Middle Eastern,31.33,Weekday,4,29,27
Blue Ribbon Sushi Izakaya,Japanese,9.7,Weekend,Not given,25,15
Blue Ribbon Sushi Izakaya,Japanese,33.03,Weekend,3,34,23
Sushi of Gari Tribeca,Japanese,24.2,Weekend,Not given,22,21
Burger Joint,American,16.15,Weekend,Not given,31,15
Aurora,Italian,21.93,Weekend,Not given,31,18
Shake Shack,American,9.41,Weekend,5,22,20
Hill Country Fried Chicken,Southern,14.12,Weekend,5,25,15
Parm,Italian,14.55,Weekday,5,30,32
Blue Ribbon Sushi Bar & Grill,Japanese,33.03,Weekend,5,28,15
Blue Ribbon Sushi,Japanese,13.0,Weekend,5,34,15
Sarabeth's,American,25.17,Weekend,3,28,23
Rubirosa,Italian,5.97,Weekend,3,30,25
Sushi Samba,Japanese,13.0,Weekend,4,33,21
Melt Shop,American,12.66,Weekend,3,27,26
Blue Ribbon Sushi Bar & Grill,Japanese,14.12,Weekend,Not given,31,25
Osteria Morini,Italian,8.3,Weekend,Not given,27,19
Hatsuhana,Japanese,17.03,Weekday,4,35,33
Blue Ribbon Sushi,Japanese,14.02,Weekday,Not given,35,29
RedFarm Hudson,Chinese,24.2,Weekend,5,27,19
Five Guys Burgers and Fries,American,16.01,Weekend,Not given,27,19
The Meatball Shop,Italian,25.22,Weekend,5,32,25
The Kati Roll Company,Indian,19.45,Weekend,Not given,25,24
Blue Ribbon Sushi Bar & Grill,Japanese,12.08,Weekday,5,29,24
Blue Ribbon Fried Chicken,American,24.25,Weekday,5,33,30
Cafe Habana,Mexican,16.98,Weekday,4,23,30
Blue Ribbon Fried Chicken,American,13.0,Weekend,Not given,24,30
Tamarind TriBeCa,Indian,13.24,Weekend,Not given,23,30
Parm,Italian,29.39,Weekday,Not given,26,30
Waverly Diner,American,11.59,Weekend,Not given,25,22
Barbounia,Mediterranean,12.13,Weekend,Not given,26,26
Rubirosa,Italian,24.2,Weekend,4,23,26
Crema Restaurante,Mexican,15.86,Weekend,Not given,31,30
Tamarind TriBeCa,Indian,12.95,Weekday,3,27,24
Shake Shack,American,15.86,Weekend,3,34,20
Big Daddy's,American,14.84,Weekend,5,32,22
Yama Japanese Restaurant,Japanese,5.77,Weekend,Not given,34,21
Sushi of Gari 46,Japanese,22.8,Weekend,Not given,30,25
The Meatball Shop,Italian,29.25,Weekday,5,35,29
Blue Ribbon Sushi Bar & Grill,Japanese,22.36,Weekend,4,25,18
Sushi of Gari 46,Japanese,22.26,Weekend,5,27,26
Donburi-ya,Japanese,8.01,Weekday,5,30,30
Pepe Rosso To Go,Italian,16.3,Weekend,Not given,23,30
TAO,Japanese,31.43,Weekend,Not given,34,20
Parm,Italian,12.13,Weekend,3,23,15
TAO,Japanese,8.05,Weekday,Not given,26,31
Parm,Italian,19.4,Weekday,Not given,24,28
Amma,Indian,19.35,Weekend,Not given,30,16
TAO,Japanese,16.15,Weekend,3,24,22
Momoya,Japanese,16.05,Weekday,4,34,33
Parm,Italian,24.25,Weekend,4,34,21
Shake Shack,American,9.07,Weekday,3,35,26
Blue Ribbon Sushi Bar & Grill,Japanese,13.05,Weekday,5,22,28
Shake Shack,American,12.13,Weekday,5,25,30
Shake Shack,American,24.35,Weekday,5,34,26
Han Dynasty,Chinese,16.01,Weekend,5,30,16
Tony's Di Napoli,Italian,5.82,Weekend,5,26,26
Cafe Mogador,Middle Eastern,16.15,Weekend,5,29,27
Blue Ribbon Sushi,Japanese,29.68,Weekend,3,26,30
The Meatball Shop,Italian,12.18,Weekend,3,27,20
Sushi of Gari 46,Japanese,12.56,Weekend,4,20,22
Chipotle Mexican Grill $1.99 Delivery,Mexican,16.1,Weekend,Not given,22,26
Parm,Italian,21.93,Weekend,4,22,25
Sushi of Gari 46,Japanese,5.77,Weekday,4,32,24
Nobu Next Door,Japanese,6.02,Weekend,5,33,24
Aurora,Italian,6.74,Weekday,Not given,30,26
Blue Ribbon Sushi,Japanese,11.59,Weekend,4,22,18
Dickson's Farmstand Meats,American,33.03,Weekend,5,35,20
RedFarm Hudson,Chinese,33.03,Weekend,3,32,19
Shake Shack,American,5.72,Weekend,Not given,24,19
Blue Ribbon Sushi,Japanese,29.15,Weekday,Not given,26,24
indikitch,Indian,14.07,Weekend,4,20,30
Donburi-ya,Japanese,6.64,Weekday,Not given,21,29
Melt Shop,American,9.6,Weekend,5,30,16
Blue Ribbon Sushi,Japanese,9.32,Weekend,4,32,18
ilili Restaurant,Middle Eastern,25.22,Weekday,5,25,33
Shake Shack,American,16.93,Weekend,Not given,25,26
Blue Ribbon Fried Chicken,American,16.44,Weekend,4,24,16
Blue Ribbon Sushi Izakaya,Japanese,14.41,Weekend,5,22,20
Pepe Rosso To Go,Italian,12.13,Weekend,4,25,18
Tamarind TriBeCa,Indian,22.26,Weekend,5,34,15
Shake Shack,American,24.3,Weekday,4,35,29
The Smile,American,12.27,Weekday,Not given,32,24
Blue Ribbon Sushi Izakaya,Japanese,12.23,Weekend,Not given,33,23
Waverly Diner,American,14.6,Weekday,3,20,32
Moonstruck on Second,American,14.94,Weekend,5,27,20
Blue Ribbon Sushi Bar & Grill,Japanese,16.54,Weekend,Not given,27,17
RedFarm Hudson,Chinese,11.64,Weekend,Not given,34,18
Melt Shop,American,11.69,Weekday,4,21,27
RedFarm Broadway,Chinese,6.74,Weekend,Not given,31,27
Cafe Mogador,Middle Eastern,9.22,Weekend,Not given,23,15
The Meatball Shop,American,5.77,Weekend,Not given,33,27
Blue Ribbon Sushi Izakaya,Japanese,21.93,Weekend,Not given,35,26
Shake Shack,American,9.02,Weekday,4,23,27
Serafina Fabulous Pizza,Italian,22.8,Weekday,4,28,31
Rubirosa,Italian,12.51,Weekend,5,21,15
Ravagh Persian Grill,Middle Eastern,14.07,Weekday,5,34,33
The Kati Roll Company,Indian,5.34,Weekend,4,27,18
Westville Hudson,American,29.1,Weekend,Not given,20,24
Five Guys Burgers and Fries,American,6.4,Weekday,5,23,32
Cafe Mogador,Middle Eastern,14.12,Weekend,Not given,24,24
TAO,Japanese,12.18,Weekend,Not given,23,24
Osteria Morini,Italian,19.45,Weekend,Not given,26,29
Momoya,Japanese,11.59,Weekend,5,20,21
Nobu Next Door,Japanese,9.22,Weekend,Not given,29,23
Empanada Mama (closed),Mexican,12.13,Weekend,5,21,22
Shake Shack,American,15.76,Weekend,4,34,27
Junoon,Indian,29.49,Weekend,5,23,17
Nobu Next Door,Japanese,19.35,Weekend,4,28,30
Shake Shack,American,31.43,Weekend,Not given,30,19
Blue Ribbon Sushi,Japanese,19.4,Weekend,5,24,25
Blue Ribbon Sushi,Japanese,11.69,Weekend,Not given,28,29
Han Dynasty,Chinese,19.3,Weekend,Not given,34,21
The Meatball Shop,Italian,7.61,Weekend,3,20,26
The Meatball Shop,Italian,8.3,Weekday,Not given,29,32
RedFarm Hudson,Chinese,25.17,Weekend,Not given,21,17
TAO,Japanese,12.08,Weekday,3,24,26
The Meatball Shop,Italian,12.71,Weekday,5,29,33
The Meatball Shop,Italian,12.18,Weekend,Not given,20,16
Parm,Italian,29.35,Weekend,5,29,17
Five Guys Burgers and Fries,American,25.27,Weekend,5,27,29
Xi'an Famous Foods,Chinese,8.54,Weekend,5,29,30
Han Dynasty,Chinese,29.15,Weekend,Not given,27,15
Blue Ribbon Sushi,Japanese,17.85,Weekend,Not given,28,18
Blue Ribbon Sushi Izakaya,Japanese,16.1,Weekend,3,20,28
The Kati Roll Company,Indian,14.07,Weekend,5,23,20
Shake Shack,American,15.57,Weekday,4,34,25
Parm,Italian,16.44,Weekend,4,23,22
Cafe de La Esquina,Mexican,16.06,Weekend,5,27,21
Olive Garden,Italian,6.74,Weekend,5,23,19
Blue Ribbon Fried Chicken,American,14.07,Weekday,Not given,20,31
Cho Dang Gol,Korean,12.13,Weekend,4,29,16
The Meatball Shop,Italian,8.54,Weekend,3,31,15
Cafeteria,American,11.59,Weekend,Not given,24,19
Jack's Wife Freda,Mediterranean,31.43,Weekend,5,34,20
Benihana,Japanese,16.11,Weekend,Not given,25,29
Blue Ribbon Sushi,Japanese,9.41,Weekend,5,24,18
67 Burger,American,29.05,Weekday,5,20,28
RedFarm Broadway,Chinese,5.87,Weekend,4,27,22
Blue Ribbon Sushi Bar & Grill,Japanese,12.18,Weekend,4,24,15
Boqueria,Spanish,12.13,Weekday,Not given,33,28
Rubirosa,Italian,16.2,Weekend,4,21,27
Blue Ribbon Sushi,Japanese,5.97,Weekend,3,31,30
Shake Shack,American,12.23,Weekday,5,35,25
Blue Ribbon Sushi,Japanese,14.12,Weekday,5,35,33
Parm,Italian,6.74,Weekday,5,25,30
RedFarm Broadway,Chinese,19.4,Weekend,5,24,25
Blue Ribbon Fried Chicken,American,12.13,Weekend,Not given,35,29
Burger Joint,American,14.16,Weekend,4,28,28
Yama Japanese Restaurant,Japanese,12.13,Weekend,Not given,26,26
Jack's Wife Freda,Mediterranean,31.38,Weekend,Not given,28,18
Sushi Samba,Japanese,22.85,Weekday,5,21,32
Westville Hudson,American,32.93,Weekend,5,30,20
The Meatball Shop,Italian,19.4,Weekend,Not given,20,16
Shake Shack,American,8.1,Weekend,Not given,25,24
Melt Shop,American,9.02,Weekday,Not given,29,24
Shake Shack,American,9.12,Weekend,Not given,31,19
TAO,Japanese,6.69,Weekday,4,26,25
Serafina Fabulous Pizza,Italian,16.88,Weekend,Not given,33,27
Waverly Diner,American,16.3,Weekday,3,28,25
Five Guys Burgers and Fries,American,9.27,Weekend,4,23,25
TAO,Japanese,15.86,Weekend,4,22,17
Blue Ribbon Sushi,Japanese,12.23,Weekend,Not given,20,24
Balthazar Boulangerie,French,12.13,Weekend,5,25,24
Bareburger,American,17.03,Weekend,5,35,21
Bareburger,American,13.77,Weekend,3,33,29
V-Nam Cafe,Vietnamese,6.01,Weekday,3,20,31
Blue Ribbon Sushi Bar & Grill,Japanese,29.25,Weekday,Not given,25,29
Blue Ribbon Sushi,Japanese,16.1,Weekend,3,26,17
RedFarm Hudson,Chinese,5.73,Weekday,Not given,25,25
Shake Shack,American,6.07,Weekend,4,28,19
RedFarm Hudson,Chinese,15.23,Weekend,5,31,16
Parm,Italian,9.17,Weekend,Not given,25,17
Tamarind TriBeCa,Indian,29.15,Weekend,3,35,22
Shake Shack,American,29.05,Weekend,4,33,16
Han Dynasty,Chinese,33.03,Weekday,5,35,32
Blue Ribbon Sushi Izakaya,Japanese,8.83,Weekday,5,34,27
Bareburger,American,6.74,Weekend,Not given,26,29
Sushi of Gari Tribeca,Japanese,17.03,Weekend,Not given,23,22
Benihana,Japanese,25.22,Weekday,4,27,27
Tres Carnes,Mexican,9.17,Weekend,4,25,30
Schnipper's Quality Kitchen,American,12.18,Weekend,Not given,31,22
Parm,Italian,12.18,Weekend,Not given,29,16
Shake Shack,American,15.57,Weekend,5,32,17
Lucky's Famous Burgers,American,12.13,Weekday,5,21,30
Blue Ribbon Fried Chicken,American,14.6,Weekend,3,27,27
Sushi of Gari 46,Japanese,11.84,Weekend,Not given,27,24
Sushi of Gari,Japanese,14.07,Weekend,Not given,35,26
Go! Go! Curry!,Japanese,33.03,Weekend,Not given,22,15
Shake Shack,American,8.1,Weekend,5,26,27
Dirty Bird to Go,American,12.18,Weekday,Not given,20,24
Parm,Italian,5.72,Weekend,4,26,27
Nha Trang One,Vietnamese,15.67,Weekday,3,23,24
Nobu Next Door,Japanese,12.18,Weekend,4,29,20
Shake Shack,American,16.2,Weekend,Not given,20,21
Market Table,American,6.79,Weekend,Not given,21,17
Sushi Samba,Japanese,12.61,Weekend,5,29,29
TAO,Japanese,32.93,Weekend,Not given,34,16
Sushi of Gari Tribeca,Japanese,14.79,Weekend,Not given,32,24
Otto Enoteca Pizzeria,Italian,24.2,Weekend,Not given,34,15
Parm,Italian,6.69,Weekend,5,24,28
Hill Country Fried Chicken,Southern,12.23,Weekday,4,20,29
Tamarind TriBeCa,Indian,6.74,Weekend,5,25,26
Blue Ribbon Sushi,Japanese,16.06,Weekday,Not given,34,33
Blue Ribbon Fried Chicken,American,12.23,Weekend,Not given,30,20
Asuka Sushi,Japanese,22.8,Weekend,Not given,30,28
Sushi of Gari Tribeca,Japanese,12.18,Weekend,5,35,19
Five Leaves,American,9.17,Weekend,4,34,23
Shake Shack,American,14.07,Weekday,4,24,28
Blue Ribbon Fried Chicken,American,14.84,Weekend,5,21,25
Shake Shack,American,6.69,Weekday,5,26,32
Hatsuhana,Japanese,14.07,Weekend,Not given,26,17
Pylos,Mediterranean,14.12,Weekday,4,26,24
Blue Ribbon Sushi,Japanese,6.69,Weekend,Not given,35,26
Shake Shack,American,13.58,Weekend,Not given,25,24
Blue Ribbon Fried Chicken,American,33.18,Weekend,Not given,26,20
Haveli Indian Restaurant,Indian,29.1,Weekday,3,23,24
Westville Hudson,American,24.25,Weekend,Not given,25,21
Blue Ribbon Fried Chicken,American,29.05,Weekend,5,29,20
Rubirosa,Italian,6.55,Weekend,Not given,23,15
Blue Ribbon Sushi,Japanese,24.3,Weekday,Not given,21,26
Rubirosa,Italian,19.4,Weekend,4,34,16
Shake Shack,American,20.52,Weekend,3,31,15
Tamarind TriBeCa,Indian,29.39,Weekend,5,30,25
Han Dynasty,Chinese,13.78,Weekend,5,27,20
Shake Shack,American,14.12,Weekend,Not given,29,30
The Kati Roll Company,Indian,19.4,Weekday,5,24,30
Blue Ribbon Fried Chicken,American,19.4,Weekend,4,33,21
Sushi Samba,Japanese,6.84,Weekend,5,27,20
Pepe Rosso To Go,Italian,22.8,Weekend,5,35,24
Shake Shack,American,19.4,Weekend,5,33,27
RedFarm Hudson,Chinese,14.12,Weekend,5,21,24
Junoon,Indian,28.62,Weekday,5,21,32
Blue Ribbon Sushi,Japanese,29.25,Weekend,Not given,22,27
Vanessa's Dumpling House,Chinese,9.65,Weekend,5,20,22
Blue Ribbon Fried Chicken,American,15.71,Weekend,3,27,25
Sushi of Gari 46,Japanese,12.13,Weekday,Not given,20,33
Shake Shack,American,15.18,Weekday,5,30,33
Parm,Italian,22.36,Weekend,4,21,30
Saravanaa Bhavan,Indian,12.13,Weekday,Not given,32,26
Shake Shack,American,12.13,Weekend,5,26,26
Sushi of Gari,Japanese,31.43,Weekend,Not given,21,27
Blue Ribbon Fried Chicken,American,20.18,Weekend,3,22,20
ilili Restaurant,Middle Eastern,16.3,Weekend,4,27,16
RedFarm Broadway,Chinese,14.07,Weekend,3,34,17
Sushi of Gari,Japanese,6.69,Weekend,4,22,16
Han Dynasty,Chinese,24.2,Weekend,5,23,15
Shake Shack,American,6.69,Weekday,Not given,20,29
ilili Restaurant,Middle Eastern,9.56,Weekend,Not given,27,27
Han Dynasty,Chinese,8.54,Weekend,4,31,15
Rubirosa,Italian,24.2,Weekend,4,34,16
Dos Caminos,Mexican,8.1,Weekday,Not given,23,26
Blue Ribbon Fried Chicken,American,19.35,Weekday,Not given,35,24
Cafe Mogador,Middle Eastern,13.68,Weekend,4,29,18
TAO,Japanese,13.97,Weekend,5,28,25
Blue Ribbon Sushi,Japanese,9.75,Weekday,5,27,27
Tamarind TriBeCa,Indian,6.74,Weekend,4,20,17
Cho Dang Gol,Korean,11.84,Weekend,5,25,16
Five Guys Burgers and Fries,American,16.05,Weekend,4,29,18
Blue Ribbon Sushi Izakaya,Japanese,12.23,Weekend,Not given,21,23
Sarabeth's,American,32.93,Weekday,4,33,33
Empanada Mama (closed),Mexican,14.21,Weekend,Not given,27,25
Momoya,Japanese,29.1,Weekday,4,21,29
Shake Shack,American,15.57,Weekday,Not given,28,30
Sushi of Gari 46,Japanese,12.13,Weekend,Not given,25,29
Blue Ribbon Fried Chicken,American,29.15,Weekend,4,31,17
Burger Joint,American,11.98,Weekend,Not given,20,17
Sarabeth's,American,29.3,Weekend,5,23,17
Go! Go! Curry!,Japanese,14.02,Weekday,4,22,27
The Meatball Shop,American,32.93,Weekend,3,35,16
Five Guys Burgers and Fries,American,14.07,Weekday,Not given,24,26
Sushi of Gari 46,Japanese,25.17,Weekend,Not given,29,27
Galli Restaurant,Italian,16.06,Weekend,5,22,16
Shake Shack,American,24.25,Weekend,5,31,28
V-Nam Cafe,Vietnamese,12.13,Weekend,4,20,26
Izakaya Ten,Japanese,13.05,Weekend,3,34,23
Room Service,Thai,12.23,Weekend,Not given,35,16
P.J. Clarke's,American,12.18,Weekday,5,30,24
The Meatball Shop,Italian,29.1,Weekday,5,22,33
Kanoyama,Japanese,12.81,Weekend,5,23,24
Westville Hudson,American,24.3,Weekend,Not given,32,15
Parm,Italian,14.79,Weekend,Not given,33,29
Sarabeth's East,American,29.3,Weekend,Not given,27,20
Blue Ribbon Fried Chicken,American,8.93,Weekday,5,34,30
Blue Ribbon Sushi,Japanese,12.23,Weekend,4,29,22
RedFarm Broadway,Chinese,16.1,Weekend,5,21,27
Five Guys Burgers and Fries,American,12.08,Weekday,Not given,28,27
Cafe Mogador,Middle Eastern,24.25,Weekend,Not given,26,22
Yama Japanese Restaurant,Japanese,12.18,Weekday,Not given,30,25
brgr,American,14.07,Weekend,Not given,26,24
Shake Shack,American,15.52,Weekend,5,22,17
The Meatball Shop,American,12.13,Weekend,Not given,23,23
Parm,Italian,29.44,Weekend,4,33,24
Sushi of Gari Tribeca,Japanese,8.63,Weekend,5,33,17
Nobu Next Door,Japanese,5.67,Weekday,5,33,25
Sushi of Gari 46,Japanese,12.18,Weekday,4,24,27
Hampton Chutney Co.,Thai,12.37,Weekend,4,21,20
The Meatball Shop,American,19.35,Weekend,4,31,25
The Meatball Shop,Italian,32.98,Weekday,5,26,27
Momoya,Japanese,8.1,Weekend,Not given,32,27
Nobu Next Door,Japanese,11.11,Weekend,Not given,25,30
The Meatball Shop,American,12.56,Weekend,Not given,28,22
Parm,Italian,25.27,Weekday,Not given,27,27
The Meatball Shop,Italian,12.13,Weekend,4,21,25
Jack's Wife Freda,Mediterranean,9.41,Weekend,5,28,15
Blue Ribbon Fried Chicken,American,9.51,Weekday,Not given,30,29
Byblos Restaurant,Middle Eastern,25.27,Weekend,3,33,16
Blue Ribbon Sushi,Japanese,12.56,Weekend,Not given,32,20
Bareburger,American,15.57,Weekday,4,24,28
TAO,Japanese,19.35,Weekend,Not given,34,22
The Smile,American,29.1,Weekend,Not given,22,16
Burger Joint,American,12.23,Weekday,Not given,21,27
Boqueria,Spanish,14.5,Weekend,Not given,35,29
Shake Shack,American,25.22,Weekend,3,27,25
Blue Ribbon Sushi,Japanese,24.35,Weekend,5,33,22
Blue Ribbon Fried Chicken,American,21.29,Weekend,5,28,29
Lantern Thai Kitchen,Thai,9.46,Weekend,5,29,19
The Meatball Shop,Italian,14.02,Weekday,5,32,32
P.J. Clarke's,American,15.96,Weekend,Not given,27,18
Blue Ribbon Sushi,Japanese,19.4,Weekday,Not given,24,24
Donburi-ya,Japanese,12.37,Weekend,5,24,17
Parm,Italian,12.13,Weekday,4,23,31
Balthazar Boulangerie,French,21.93,Weekend,Not given,31,20
Izakaya Ten,Japanese,6.02,Weekend,Not given,24,19
Empanada Mama (closed),Mexican,19.35,Weekend,5,29,22
L'Express,French,22.02,Weekday,Not given,21,27
TAO,Japanese,8.0,Weekday,4,28,24
Nobu Next Door,Japanese,29.1,Weekday,3,35,27
Sushi Samba,Japanese,12.95,Weekend,Not given,21,21
Blue Ribbon Sushi Bar & Grill,Japanese,16.1,Weekend,Not given,27,27
Blue Ribbon Fried Chicken,American,5.73,Weekend,Not given,34,16
Han Dynasty,Chinese,8.1,Weekend,5,23,26
Tamarind TriBeCa,Indian,16.98,Weekend,5,22,17
Shake Shack,American,8.34,Weekend,Not given,23,28
Blue Ribbon Sushi,Japanese,24.25,Weekday,Not given,29,25
Song Thai Restaurant & Bar,Thai,29.2,Weekend,5,21,28
S'MAC,American,14.55,Weekend,Not given,29,29
The Meatball Shop,Italian,24.2,Weekday,4,28,30
Blue Ribbon Sushi,Japanese,12.13,Weekday,Not given,32,29
J. G. Melon,American,19.45,Weekend,5,24,15
Hummus Place,Middle Eastern,9.75,Weekend,5,28,28
Empanada Mama (closed),Mexican,19.98,Weekday,4,23,32
Blue Ribbon Sushi Bar & Grill,Japanese,11.88,Weekend,5,25,17
RedFarm Broadway,Chinese,6.69,Weekend,Not given,27,24
RedFarm Hudson,Chinese,21.29,Weekend,4,32,25
Hill Country Fried Chicken,Southern,11.64,Weekend,4,35,21
Bareburger,American,32.93,Weekend,Not given,29,24
Blue Ribbon Fried Chicken,American,12.56,Weekday,5,27,27
RedFarm Broadway,Chinese,14.07,Weekday,Not given,35,33
Rubirosa,Italian,33.03,Weekend,5,22,28
Cafe Mogador,Middle Eastern,12.95,Weekend,3,21,20
Shake Shack,American,12.27,Weekend,5,24,28
Tamarind TriBeCa,Indian,12.18,Weekend,5,25,20
The Meatball Shop,Italian,12.08,Weekend,3,32,19
Dickson's Farmstand Meats,American,12.18,Weekend,5,21,20
Blue Ribbon Sushi,Japanese,12.22,Weekend,Not given,34,28
Shake Shack,American,12.95,Weekend,4,30,26
Sushi of Gari 46,Japanese,29.1,Weekday,5,32,30
Chipotle Mexican Grill $1.99 Delivery,Mexican,15.23,Weekend,Not given,31,21
Blue Ribbon Sushi Bar & Grill,Japanese,15.81,Weekday,Not given,21,29
RedFarm Broadway,Chinese,15.96,Weekday,4,35,33
Bareburger,American,16.25,Weekend,Not given,32,28
TAO,Japanese,8.54,Weekend,4,26,23
TAO,Japanese,29.1,Weekend,Not given,28,23
Blue Ribbon Sushi,Japanese,6.74,Weekend,Not given,31,27
Blue Ribbon Sushi,Japanese,31.38,Weekend,Not given,26,27
Parm,Italian,22.75,Weekday,Not given,30,27
Barbounia,Mediterranean,16.93,Weekend,5,30,18
Rubirosa,Italian,32.98,Weekend,Not given,33,30
Shake Shack,American,5.82,Weekday,Not given,29,29
Blue Ribbon Sushi Bar & Grill,Japanese,22.26,Weekday,Not given,20,26
Mission Cantina,Mexican,15.57,Weekend,5,21,28
Tres Carnes,Mexican,33.32,Weekday,4,21,33
Blue Ribbon Fried Chicken,American,21.34,Weekend,5,28,21
The Meatball Shop,American,31.43,Weekend,4,20,21
Sushi of Gari 46,Japanese,9.22,Weekend,4,32,28
Momoya,Japanese,9.55,Weekend,5,30,26
The Smile,American,8.59,Weekend,4,32,29
Schnipper's Quality Kitchen,American,14.02,Weekend,5,20,16
Joe's Shanghai _Àü£¾÷´,Chinese,16.15,Weekend,3,33,20
RedFarm Broadway,Chinese,8.97,Weekend,Not given,21,16
TAO,Japanese,9.22,Weekend,5,26,25
Nobu Next Door,Japanese,8.97,Weekday,Not given,22,31
Nobu Next Door,Japanese,14.12,Weekend,3,30,19
Shake Shack,American,19.35,Weekend,4,21,29
Shake Shack,American,20.52,Weekend,Not given,31,26
Vanessa's Dumpling House,Chinese,18.43,Weekend,5,34,28
Yama Japanese Restaurant,Japanese,9.27,Weekend,Not given,23,29
Parm,Italian,12.47,Weekend,Not given,22,24
Chipotle Mexican Grill $1.99 Delivery,Mexican,29.15,Weekday,Not given,21,24
Shake Shack,American,12.18,Weekend,Not given,23,16
Westville Hudson,American,9.51,Weekend,Not given,27,28
Otto Enoteca Pizzeria,Italian,12.18,Weekend,5,21,20
Jack's Wife Freda,Mediterranean,12.13,Weekend,4,33,23
Shake Shack,American,6.79,Weekend,4,35,30
Blue Ribbon Fried Chicken,American,12.08,Weekend,4,21,21
RedFarm Hudson,Chinese,13.92,Weekend,5,28,24
The Meatball Shop,Italian,6.84,Weekend,Not given,25,18
Grand Sichuan International,Chinese,25.27,Weekday,5,35,30
Nobu Next Door,Japanese,9.17,Weekend,Not given,24,15
Shake Shack,American,24.3,Weekday,4,33,30
Shake Shack,American,16.2,Weekday,Not given,27,30
Tres Carnes,Mexican,20.13,Weekend,Not given,35,18
Bareburger,American,19.35,Weekday,4,33,27
Vanessa's Dumplings,Chinese,14.02,Weekend,4,22,24
Shake Shack,American,22.36,Weekday,Not given,33,25
Big Daddy's,American,12.08,Weekend,5,22,16
Shake Shack,American,12.18,Weekday,Not given,26,27
Sarabeth's Restaurant,American,12.27,Weekend,5,24,24
